5/14/2017,15:26:00,,,413.9184
5/14/2017,15:30:00,,,420.9288
5/14/2017,15:32:00,,,440.7408
5/14/2017,15:34:00,,,442.8744
5/14/2017,15:35:00,,,445.008
5/14/2017,15:36:00,,,448.9704
5/14/2017,15:38:00,,,449.8848
5/14/2017,15:41:00,,,449.8848
5/14/2017,15:42:00,,,449.8848
5/14/2017,15:44:00,,,449.8848
5/14/2017,15:46:00,,,449.8848
5/14/2017,15:50:00,,,452.0184
5/14/2017,15:50:00,,,453.8472
5/14/2017,15:53:00,,,455.9808
5/14/2017,15:54:00,,,459.9432
5/14/2017,15:56:00,,,461.772
5/14/2017,16:00:00,,,467.868
5/14/2017,16:01:00,,,470.916
5/14/2017,16:04:00,,,481.8888
5/14/2017,16:05:00,,,481.8888
5/14/2017,16:06:00,,,481.8888
5/14/2017,16:10:00,,,484.9368
5/14/2017,16:10:00,,,493.776
5/14/2017,16:12:00,,,495.9096
5/14/2017,16:14:00,,,499.872
5/14/2017,16:16:00,,,504.7488
5/14/2017,16:18:00,,,511.7592
5/14/2017,16:21:00,,,525.78
5/14/2017,16:22:00,,,529.7424
5/14/2017,16:24:00,,,535.8384
5/14/2017,16:26:00,,,537.972
5/14/2017,16:29:00,,,538.8864
5/14/2017,16:30:00,,,539.8008
5/14/2017,16:33:00,,,541.9344
5/14/2017,16:34:00,,,541.9344
5/14/2017,16:37:00,,,541.9344
5/14/2017,16:38:00,,,542.8488
5/14/2017,16:40:00,,,543.7632
5/14/2017,16:42:00,,,542.8488
5/14/2017,16:44:00,,,543.7632
5/14/2017,16:46:00,,,543.7632
5/14/2017,16:50:00,,,543.7632
5/14/2017,16:50:00,,,543.7632
5/14/2017,16:52:00,,,543.7632
5/14/2017,16:54:00,,,544.9824
5/14/2017,16:56:00,,,543.7632
5/14/2017,16:58:00,,,529.7424
5/14/2017,17:00:00,,,529.7424
5/14/2017,17:03:00,,,525.78
5/14/2017,17:04:00,,,522.732
5/14/2017,17:07:00,,,517.8552
5/14/2017,17:08:00,,,510.8448
5/14/2017,17:11:00,,,500.7864
5/14/2017,17:12:00,,,488.8992
5/14/2017,17:15:00,,,488.8992
5/14/2017,17:16:00,,,487.9848
5/14/2017,17:19:00,,,488.8992
5/14/2017,17:20:00,,,490.728
5/14/2017,17:23:00,,,490.728
5/14/2017,17:25:00,,,487.9848
5/14/2017,17:27:00,,,482.8032
5/14/2017,17:30:00,,,477.9264
5/14/2017,17:30:00,,,472.7448
5/14/2017,17:32:00,,,465.7344
5/14/2017,17:34:00,,,453.8472
5/14/2017,17:36:00,,,439.8264
5/14/2017,17:38:00,,,431.9016
5/14/2017,17:40:00,,,427.9392
5/14/2017,17:42:00,,,425.8056
5/14/2017,17:44:00,,,423.9768
5/14/2017,17:46:00,,,423.9768
5/14/2017,17:49:00,,,423.9768
5/14/2017,17:50:00,,,423.9768
